id,title_romaji,title_english,title_native,episodes,score,popularity,genres,status,studio,season,start_year,url
98444,Yuru Camp△,Laid-Back Camp,ゆるキャン△,12.0,81.0,151978,"Comedy, Slice of Life",FINISHED,C-Station,WINTER,2018.0,https://anilist.co/anime/98444
100183,Sword Art Online Alternative: Gun Gale Online,Sword Art Online Alternative: Gun Gale Online,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,12.0,69.0,151909,"Action, Sci-Fi",FINISHED,Studio 3Hz,SPRING,2018.0,https://anilist.co/anime/100183
7791,K-ON!!,K-ON! Season 2,けいおん!!,26.0,82.0,151642,"Comedy, Music, Slice of Life",FINISHED,Kyoto Animation,SPRING,2010.0,https://anilist.co/anime/7791
131565,takt op.Destiny,takt op.Destiny,takt op.Destiny,12.0,69.0,151432,"Action, Fantasy, Music",FINISHED,MADHOUSE,FALL,2021.0,https://anilist.co/anime/131565
43,GHOST IN THE SHELL: Koukaku Kidoutai,Ghost in the Shell,GHOST IN THE SHELL / 攻殻機動隊,1.0,80.0,151230,"Action, Psychological, Sci-Fi",FINISHED,Production I.G,FALL,1995.0,https://anilist.co/anime/43
21858,Little Witch Academia (TV),Little Witch Academia (TV),リトルウィッチアカデミア (TV),25.0,77.0,151199,"Comedy, Fantasy",FINISHED,TRIGGER,WINTER,2017.0,https://anilist.co/anime/21858
107717,Kobayashi-san Chi no Maidragon S,Miss Kobayashi's Dragon Maid S,小林さんちのメイドラゴンＳ,12.0,81.0,151068,"Comedy, Fantasy, Slice of Life",FINISHED,Kyoto Animation,SUMMER,2021.0,https://anilist.co/anime/107717
20876,Nisekoi:,Nisekoi:,ニセコイ：,12.0,71.0,150722,"Comedy, Romance, Slice of Life",FINISHED,Shaft,SPRING,2015.0,https://anilist.co/anime/20876
114888,Fugou Keiji: Balance:UNLIMITED,The Millionaire Detective - Balance: UNLIMITED,富豪刑事 Balance:UNLIMITED,11.0,74.0,150600,"Action, Comedy, Mystery, Sci-Fi",FINISHED,CloverWorks,SPRING,2020.0,https://anilist.co/anime/114888
9260,Kizumonogatari I: Tekketsu-hen,Kizumonogatari Part 1: Tekketsu,傷物語〈Ⅰ鉄血篇〉,1.0,83.0,150593,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",FINISHED,Shaft,WINTER,2016.0,https://anilist.co/anime/9260
133844,Overlord IV,Overlord IV,オーバーロードⅣ,13.0,80.0,149986,"Action, Adventure, Fantasy",FINISHED,MADHOUSE,SUMMER,2022.0,https://anilist.co/anime/133844
10719,Boku wa Tomodachi ga Sukunai,Haganai,僕は友達が少ない,12.0,67.0,149857,"Comedy, Ecchi, Romance, Slice of Life",FINISHED,AIC Build,FALL,2011.0,https://anilist.co/anime/10719
161964,Kage no Jitsuryokusha ni Naritakute! 2nd season,The Eminence in Shadow Season 2,陰の実力者になりたくて！ 2nd season,12.0,82.0,149666,"Action, Comedy, Fantasy",FINISHED,Nexus,FALL,2023.0,https://anilist.co/anime/161964
6,TRIGUN,Trigun,TRIGUN,26.0,80.0,149410,"Action, Adventure, Comedy, Drama, Sci-Fi",FINISHED,MADHOUSE,SPRING,1998.0,https://anilist.co/anime/6
14345,BTOOOM!,BTOOOM!,BTOOOM！,12.0,68.0,149260,"Action, Psychological, Sci-Fi",FINISHED,MADHOUSE,FALL,2012.0,https://anilist.co/anime/14345
20602,Amagi Brilliant Park,Amagi Brilliant Park,甘城ブリリアントパーク,13.0,72.0,148770,"Comedy, Fantasy",FINISHED,Kyoto Animation,FALL,2014.0,https://anilist.co/anime/20602
163270,WIND BREAKER,WIND BREAKER,WIND BREAKER,13.0,78.0,148677,"Action, Comedy, Drama",FINISHED,CloverWorks,SPRING,2024.0,https://anilist.co/anime/163270
