id,title_romaji,title_english,title_native,format,episodes,duration,source,country,isAdult,score,meanScore,popularity,favourites,trending,genres,tags,status,studio,season,start_year,url
11597,Nisemonogatari,Nisemonogatari,偽物語,TV,11.0,24.0,LIGHT_NOVEL,JP,False,79.0,79.0,171707,2565,0,"Comedy, Drama, Ecchi, Mystery, Psychological, Supernatural","Urban Fantasy, Ensemble Cast, Surreal Comedy, Primarily Female Cast, Female Harem, Male Protagonist, Philosophy, Incest, Primarily Teen Cast, Youkai, Urban, Vampire, Achronological Order, Nudity, Family Life, Feet, Meta, Heterosexual, Tsundere, Tomboy, Kuudere, Satire, Super Power, Gore, School",FINISHED,Shaft,WINTER,2012,https://anilist.co/anime/11597
20994,"GATE: Jieitai Kanochi nite, Kaku Tatakaeri",Gate,GATE 自衛隊 彼の地にて、斯く戦えり,TV,12.0,23.0,LIGHT_NOVEL,JP,False,74.0,74.0,171560,3731,2,"Action, Adventure, Fantasy","Military, Isekai, War, Alternate Universe, Politics, Male Protagonist, Primarily Adult Cast, Primarily Female Cast, Magic, Dragons, Anachronism, Tanks, Elf, Language Barrier, Otaku Culture, Medieval, Kemonomimi, Slavery, Kuudere",FINISHED,A-1 Pictures,SUMMER,2015,https://anilist.co/anime/20994
21685,Eromanga Sensei,Eromanga Sensei,エロマンガ先生,TV,12.0,24.0,LIGHT_NOVEL,JP,False,59.0,59.0,171088,1882,1,"Comedy, Drama, Ecchi, Romance, Slice of Life","Inseki, Primarily Child Cast, Writing, Drawing, Hikikomori, Tsundere, Otaku Culture, Heterosexual, Female Harem, Nudity, Assassins, Male Protagonist, Primarily Female Cast, Work, Meta, Parody, Love Triangle, Unrequited Love, Video Games, Feet, Crossover, Female Protagonist, Primarily Teen Cast",FINISHED,A-1 Pictures,SPRING,2017,https://anilist.co/anime/21685
18507,Free!,Free! -Iwatobi Swim Club-,Free!,TV,12.0,24.0,ORIGINAL,JP,False,71.0,71.0,170313,2735,1,"Comedy, Drama, Slice of Life, Sports","Swimming, School Club, Primarily Male Cast, Male Protagonist, Coming of Age, Cute Boys Doing Cute Things, Fitness, Primarily Teen Cast, School, Kuudere, Coastal, Bisexual",FINISHED,Kyoto Animation,SUMMER,2013,https://anilist.co/anime/18507
20966,Yamada-kun to 7-nin no Majo,Yamada and the Seven Witches,山田くんと7人の魔女,TV,12.0,24.0,MANGA,JP,False,73.0,73.0,169802,2551,2,"Comedy, Mystery, Romance, Supernatural","Witch, Body Swapping, School, School Club, Male Protagonist, Amnesia, Urban Fantasy, Love Triangle, Heterosexual, Gender Bending, LGBTQ+ Themes, Primarily Teen Cast, Shounen, Mixed Gender Harem, Episodic",FINISHED,LIDENFILMS,SPRING,2015,https://anilist.co/anime/20966
114232,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",ひげを剃る。そして女子高生を拾う。,TV,13.0,24.0,LIGHT_NOVEL,JP,False,70.0,70.0,168464,3399,0,"Drama, Romance, Slice of Life","Rehabilitation, Coming of Age, Age Gap, Bullying, Love Triangle, Heterosexual, Konbini, Work, Primarily Adult Cast, Tragedy, Female Harem, Suicide, Estranged Family, Office, Female Protagonist, Cohabitation, Office Lady, Ensemble Cast, Adoption, Tsundere, Rape, Gyaru, Nudity, Time Skip",FINISHED,project No.9,SPRING,2021,https://anilist.co/anime/114232
97994,Blend S,BLEND-S,ブレンド・S,TV,12.0,24.0,MANGA,JP,False,70.0,70.0,168011,2162,1,"Comedy, Slice of Life","Work, Cute Girls Doing Cute Things, Primarily Female Cast, Female Protagonist, Sadism, Restaurant, Maids, Tsundere, Cosplay, Masochism, Otaku Culture, Urban, Femboy, Crossdressing, Slapstick, Heterosexual, Age Gap, Meta, Male Protagonist, Seinen, Chibi, Kuudere",FINISHED,A-1 Pictures,FALL,2017,https://anilist.co/anime/97994
356,Fate/stay night,Fate/stay night,Fate/stay night,TV,24.0,24.0,VISUAL_NOVEL,JP,False,68.0,68.0,167933,2045,0,"Action, Fantasy, Romance, Supernatural","Magic, Battle Royale, Death Game, Urban Fantasy, Mythology, Spearplay, Samurai, Male Protagonist, Swordplay, Super Power, Heterosexual, Witch, Urban, Orphan, Cohabitation, Medieval, School, Tsundere, Assassins, Kuudere, CGI, Tragedy, Asexual",FINISHED,Studio DEEN,WINTER,2006,https://anilist.co/anime/356
111762,Fruits Basket: 2nd Season,Fruits Basket Season 2,フルーツバスケット 2nd Season,TV,25.0,24.0,MANGA,JP,False,85.0,85.0,167635,4881,1,"Comedy, Drama, Psychological, Romance, Slice of Life, Supernatural","Family Life, Female Protagonist, Shoujo, Coming of Age, Mythology, Found Family, Tragedy, Ensemble Cast, Urban Fantasy, Animals, Rehabilitation, Primarily Teen Cast, Philosophy, Heterosexual, Femboy, Bullying, Curses, School, Primarily Male Cast, Love Triangle, Orphan, School Club, Shapeshifting, Yandere, Cohabitation, Memory Manipulation, Tsundere, Kuudere, Gender Bending, Body Horror, Age Gap, Unrequited Love, Crossdressing, Bisexual, Nekomimi, Kemonomimi, Suicide, Work",FINISHED,TMS Entertainment,SPRING,2020,https://anilist.co/anime/111762
20626,FAIRY TAIL (2014),Fairy Tail Series 2,FAIRY TAIL (2014),TV,102.0,24.0,MANGA,JP,False,74.0,74.0,167491,3880,0,"Action, Adventure, Fantasy","Magic, Shounen, Found Family, Super Power, Tragedy, Anthropomorphism, Dragons, Work, Female Protagonist, Demons, Male Protagonist, Time Manipulation, Time Skip, Primarily Adult Cast, Primarily Teen Cast, Monster Girl, Nekomimi, Centaur, Large Breasts, Medieval",FINISHED,A-1 Pictures,SPRING,2014,https://anilist.co/anime/20626
